year,week,Pestvalue,MaxT,MinT,RH1,RH2,RF,WS,SSH,EVP,Pest/Disease Name,Value_Class,Risk_Level,LTP,TF,PTR,THC
2003,15,0,35.1,25.4,92.4,54.6,0,7.6,9.1,5.9,Number of hopper/ hill,0,无风险,275.275,9.700000000000003,0,2.4297520661157024
2003,16,0,35.8,25.9,91.4,50.9,0,7.9,9.3,6.2,Number of hopper/ hill,0,无风险,286.90500000000003,9.899999999999999,0,2.306320907617504
2003,17,0,36.4,24.7,90.9,48.7,9.8,10.6,8.2,6.2,Number of hopper/ hill,0,无风险,250.50999999999996,11.7,0.16039279869067105,2.284779050736498
2003,18,0,35,25.7,91.3,59.6,11.4,7.2,9.2,5.1,Number of hopper/ hill,0,无风险,279.21999999999997,9.3,0.18780889621087316,2.485996705107084
2003,19,0,34.5,25.3,88.3,62.3,28,7.5,8,4.9,Number of hopper/ hill,0,无风险,239.2,9.2,0.4682274247491639,2.5183946488294313
2003,20,0,35.4,26.2,86.9,49.3,0,6.3,11.1,6.5,Number of hopper/ hill,0,无风险,341.87999999999994,9.2,0,2.211038961038961
2003,21,0,37.6,28.8,88.7,54.4,5.6,9.6,9.7,7.3,Number of hopper/ hill,0,无风险,322.04,8.8,0.08433734939759036,2.1551204819277108
2003,22,0,41.1,29.7,86.7,39.4,0,8.7,8.9,7.5,Number of hopper/ hill,0,无风险,315.06,11.400000000000002,0,1.7810734463276836
2003,23,0,38.8,28.2,85.4,48.1,0,10,8.3,7.6,Number of hopper/ hill,0,无风险,278.05,10.599999999999998,0,1.992537313432836
2003,24,0,35.5,26.8,86.1,70,38.9,8.3,3.2,5.5,Number of hopper/ hill,0,无风险,99.68,8.7,0.6243980738362761,2.50561797752809
2003,25,0,35.1,27.1,90.3,65.9,75.4,6.3,4.7,3.6,Number of hopper/ hill,0,无风险,146.17000000000002,8,1.212218649517685,2.511254019292604
2003,26,0,30.7,26.2,93.4,80.1,14.8,3,0.9,2.1,Number of hopper/ hill,0,无风险,25.605,4.5,0.2601054481546573,3.0492091388400704
2003,27,0,31,26.1,93.9,83.4,115.8,5.5,1.9,2.2,Number of hopper/ hill,0,无风险,54.245,4.899999999999999,2.0280210157618215,3.10507880910683
2003,28,0,30.7,24.9,96.3,82.3,115.2,5.2,0.9,1.7,Number of hopper/ hill,0,无风险,25.02,5.800000000000001,2.071942446043166,3.212230215827338
2003,29,0,33,26.1,93.1,69.3,38.6,5.9,5.1,4.1,Number of hopper/ hill,0,无风险,150.70499999999998,6.899999999999999,0.6531302876480541,2.7478849407783414
2003,30,0,34.8,26.1,92,69.1,99.9,4.9,8.7,4,Number of hopper/ hill,0,无风险,264.91499999999996,8.699999999999996,1.6403940886699508,2.645320197044335
2003,31,0,31.7,26.8,93.9,75.6,81.3,7.2,5.9,4.4,Number of hopper/ hill,0,无风险,172.57500000000002,4.899999999999999,1.3897435897435897,2.8974358974358974
2003,32,0,31.9,26.3,94.7,76.1,49.6,3.4,2.5,3.1,Number of hopper/ hill,0,无风险,72.75,5.599999999999998,0.852233676975945,2.934707903780069
2003,33,0,31.4,25.8,95,82.4,63.8,5.4,2.1,2.3,Number of hopper/ hill,0,无风险,60.06,5.599999999999998,1.1153846153846152,3.1013986013986012
2003,34,0,31.6,26.2,92.1,79.7,54.1,3.6,6.4,3.6,Number of hopper/ hill,0,无风险,184.96,5.400000000000002,0.9359861591695502,2.9723183391003465
2003,35,0,31.6,25.6,96.3,75.9,63,4.1,3,3,Number of hopper/ hill,0,无风险,85.80000000000001,6,1.1013986013986012,3.01048951048951
2003,36,0,31.5,25.9,92.4,79.7,99.6,3.4,4.4,2.3,Number of hopper/ hill,0,无风险,126.28,5.600000000000001,1.735191637630662,2.998257839721255
2003,37,2.9,28.9,25.2,95.7,86.6,101.7,4.6,1,1.9,Number of hopper/ hill,1,低风险,27.049999999999997,3.6999999999999993,1.879852125693161,3.3696857670979674
2003,38,9.7,31.7,25.8,91.4,77.3,50.2,3.9,6.8,3.8,Number of hopper/ hill,1,低风险,195.5,5.899999999999999,0.8730434782608696,2.9339130434782605
