sd_station,X,Y,等温性,降水季节性,年降水量,年均温_,平均日较差,温度季节性,温度年较差,最干季度降水量,最干季度平均温度,最干月降水量,最冷季度降水量,最冷季度平均温度,最冷月最低温,最热季度降水量,最热季度平均温度,最热月最高温,最湿季度降水量,最湿季度平均温度,sd_dem,sd_podu,sd_poxiang,evi_Band_1,lai_Band_1,lst_Band_1,ndvi_Band_,pet_Band_1,BYQ_baie
47,116.4167,36.25,27.5556,110.532,650,13.425,10.3333,1047.78,37.5,22,-0.166667,7,22,-0.166667,-6.5,422,25.7833,31,422,25.7833,84,8.15679,61.2602,2894.83,6.95652,14173,4401.22,222,1
48,116.8,36.1833,27.9399,110.729,698,13.25,10.5333,1045.59,37.7,22,-0.316667,6,22,-0.316667,-7,452,25.55,30.7,452,25.55,121,0.985384,315,2625.09,5.30435,13454.4,3974.78,210.478,1
49,117.2,37,25.9983,119.922,623,13.425,9.98333,1083.01,38.4,15,-0.633333,4,15,-0.633333,-7.1,427,26.1667,31.3,427,26.1667,17,4.27508,12.5288,4115.65,14.6087,14097,5761.22,270.304,1
50,117.7333,36.8667,27.785,115.21,666,13.7708,10.6417,1063.33,38.3,25,-0.15,7,25,-0.15,-7,441,26.1667,31.3,441,26.1667,42,8.98746,178.531,2400.09,7.04348,14714.2,3958.48,295.304,1
51,117,36.6,24.7283,114.141,722,13.4167,9.1,1057.08,36.8,22,-0.316667,6,22,-0.316667,-6.1,475,25.8167,30.7,475,25.8167,133,7.37024,122.196,950,0,14431.7,1930.09,0,1
52,117.95,36.6333,28.1767,113.409,691,13.9125,10.7917,1059.51,38.3,27,0.1,8,27,0.1,-6.6,451,26.3333,31.7,451,26.3333,80,10.0162,211.866,2182.57,4.13043,14180.8,3620.61,251.174,1
53,117.85,36.5167,27.8584,111.914,722,13.2042,10.5583,1053,37.9,30,-0.55,9,30,-0.55,-7.1,469,25.5,30.8,469,25.5,188,7.44856,97.125,1268.09,0,13843.6,2277.43,0,1
54,117.1,36.25,26.2006,109.998,778,9.32083,9.275,993.006,35.4,25,-3.45,6,25,-3.45,-9.4,503,21.1,26,503,21.1,1133,31.2214,145.353,3117.52,15.2174,13455.8,5817.09,292.826,1
55,117.15,36.1667,27.0276,112.259,729,13.5125,10.1083,1049.02,37.4,25,-0.0666667,7,25,-0.0666667,-6.4,475,25.8667,31,475,25.8667,120,2.78517,0,1686.48,0,13496.4,2691.17,0,1
56,117.6833,36.2333,28.1003,111.031,744,13.0167,10.65,1049.09,37.9,30,-0.616667,9,30,-0.616667,-7.3,482,25.3167,30.6,482,25.3167,217,9.67384,334.654,1908.26,0,13547.3,3140.17,0,1
57,117.8667,36.7667,28.329,115.456,662,13.5708,10.9917,1064.37,38.8,21,-0.333333,6,21,-0.333333,-7.4,438,26.05,31.4,438,26.05,88,2.32153,306.87,1951.48,9,14137.6,3241.78,299.087,1
58,117.9333,36.8167,28.1304,116.177,642,13.6958,10.8583,1061.45,38.6,20,-0.15,5,20,-0.15,-7.2,425,26.1667,31.4,425,26.1667,29,3.94932,40.2364,2208.39,6.43478,14116.2,3589.57,267.913,1
59,118.5,36.65,28.7586,112.787,689,13.2542,11.1583,1055.05,38.8,25,-0.533333,7,25,-0.533333,-7.7,443,25.65,31.1,447,24.35,110,1.35416,239.036,2715.96,6.86957,14414.1,4185.83,233.87,1
60,118.8,36.8667,28.5166,112.098,673,13.3083,11.15,1066.34,39.1,26,-0.566667,7,26,-0.566667,-7.7,434,25.85,31.4,434,25.85,26,4.45897,351.027,2717.04,6.82609,14697.3,4341.52,302.826,1
61,118.0833,36.9667,28.2002,115.477,632,13.9375,10.9417,1069.23,38.8,20,-0.0166667,5,20,-0.0166667,-7.1,419,26.4667,31.7,419,26.4667,16,5.90105,115.56,1860.87,4.34783,13770.7,3234,236.348,1
62,118.2833,36.8667,28.6204,114.255,648,13.7667,11.1333,1063.89,38.9,23,-0.15,6,23,-0.15,-7.4,424,26.2333,31.5,424,26.2333,41,20.3318,233.005,2790.39,7.43478,14145.9,4067.39,247.957,1
63,118.55,36.5,29.1451,113.029,720,13.1083,11.25,1048.33,38.6,28,-0.566667,8,28,-0.566667,-7.8,463,25.4333,30.8,468,24.1667,96,3.24844,270,1775.26,6.47826,14089,3222.52,246.174,1
64,118.1667,36.1833,29.0351,110.244,775,12.4417,11.0333,1037.44,38,36,-1.03333,11,36,-1.03333,-8,499,24.6167,30,499,24.6167,294,1.35416,329.036,955.348,0,13784.5,1870.17,0,1
65,118.8333,36.6833,28.6269,111.242,702,13.175,11.05,1045.89,38.6,27,-0.45,8,27,-0.45,-7.5,450,25.5333,31.1,451,24.35,69,1.64202,45,1995.17,4.34783,14422.3,3164.48,275.304,1
66,119.4167,36.8667,27.5022,106.424,667,12.7792,10.2583,1033.56,37.3,26,-0.616667,8,26,-0.616667,-7.2,422,24.9167,30.1,422,24.9167,15,7.01776,72.7585,1543.96,4.95652,14720.1,2577.7,205.913,1
67,120,36.7833,26.0329,100.38,702,12.5208,9.24167,1003.73,35.5,31,-0.383333,10,31,-0.383333,-6.4,431,24.2833,29.1,431,24.2833,63,1.99734,234.462,1596.26,5.43478,14077.9,2710.57,205.957,1
68,119.2,36.75,28.4686,108.061,684,12.8542,10.875,1042.33,38.2,26,-0.666667,7,26,-0.666667,-7.6,434,25.1333,30.6,434,25.1333,14,3.96287,249.444,2272.17,6.26087,14432.9,3719.26,255.826,1
69,119.1833,36.4167,27.9111,106.298,730,12.6417,10.4667,1028.09,37.5,31,-0.7,9,31,-0.7,-7.6,458,24.7333,29.9,458,24.7333,68,4.87164,244.654,1889.57,3.82609,14425.6,3082.96,207.522,1
70,119.7333,36.3833,26.2984,99.1991,720,12.725,9.28333,992.601,35.3,32,-0.0666666,10,32,-0.0666666,-6.2,438,24.3667,29.1,438,24.3667,54,5.17979,333.435,2117.91,0,14447.7,3328.78,0,1
71,119.4167,35.9833,26.1364,101.131,790,12.5833,9.2,992.209,35.2,35,-0.2,10,35,-0.2,-6.4,485,24.2333,28.8,485,24.2333,98,3.82517,75.9638,926.217,0,14131.5,1651,0,1
72,120.0333,36.2167,25,93.0909,700,12.7,8.45,964.931,33.8,32,0.283333,10,32,0.283333,-5.4,412,23.9,28.4,412,23.9,69,2.10244,6.34019,2216.17,6.86957,14371.6,3550,202.565,1
73,120.5667,36.9,25.1691,103.867,713,12.25,8.68333,986.276,34.5,27,-0.4,9,27,-0.4,-6.2,444,23.75,28.3,444,23.75,74,3.66765,198.435,2173.65,4.3913,13805.9,3267.39,165.174,1
74,120.7333,36.9667,25.2174,103.586,727,12.4333,8.7,986.083,34.5,31,-0.216667,10,31,-0.216667,-6,451,23.9333,28.5,452,23.7,51,4.87164,272.726,1519.39,0,14738.5,2401.3,0,1
75,120.4167,36.1667,22.4671,87.9912,695,12.9625,7.39167,952.764,32.9,37,0.8,12,37,0.8,-4.3,388,24.1333,28.6,396,23.9833,30,5.3719,82.5686,1997.43,0,14111.8,3440.83,0,1
76,120.3833,36.4,24.5575,93.4138,695,12.8292,8.325,969.045,33.9,32,0.366667,10,32,0.366667,-5.3,409,24.0833,28.6,409,24.0833,43,2.62611,315,2606.35,7.26087,14424.6,4160.87,243.478,1
77,120.3333,36.0667,21.0404,86.9843,690,12.7708,6.775,940.649,32.2,36,0.883333,11,36,0.883333,-3.8,380,23.95,28.4,393,23.6167,40,5.57637,318.366,1518.74,0,14288,3419.3,0,1
78,121.5333,36.9333,22.6727,94.0962,730,12.1917,7.55,961.665,33.3,40,-3.97364E-08,11,40,-3.97364E-08,-5.4,433,23.4,27.9,433,23.4,23,4.91531,8.1301,1511.78,3.52174,13729.6,2431.13,169.174,1
79,121.1833,36.7833,23.8772,96.5405,743,12.4208,7.975,963.071,33.4,38,0.15,11,38,0.15,-5.1,443,23.6,28.3,444,23.5833,16,4.65848,174.289,1474.78,2.65217,13456,2330.96,198,1
80,122.4833,36.9333,18.9294,92.1255,696,12.075,5.71667,874.727,30.2,39,2.3,10,39,1.71667,-3.5,411,22.7333,26.7,411,22.7333,8,3.1133,153.435,83.6087,1.95652,0,161.348,0,1
81,115.5167,35.5833,28.9308,101.829,602,13.8583,10.7333,1018.64,37.1,25,0.733333,7,25,0.733333,-5.8,366,26,31.3,369,24.5667,43,3.02575,175.601,2641.3,6.26087,11657,3620.96,187.087,1
82,115.9333,35.5833,28.9308,102.849,636,14.0083,10.7333,1020.49,37.1,27,0.85,8,27,0.85,-5.7,390,26.1333,31.4,390,26.1333,44,7.84807,0,1612.83,3.6087,12874.4,2838.52,203.87,1
83,115.4167,35.25,28.4894,97.83,653,14.2792,10.3417,1006.08,36.3,34,1.33333,11,34,1.33333,-4.8,388,26.2833,31.5,389,24.9,54,3.74008,29.7449,1690.09,2.65217,10364.7,2803.17,148.348,1
84,116.65,34.9833,28.2548,99.5971,679,14.1083,10.2,1000.94,36.1,35,1.31667,10,35,1.31667,-5.1,416,26.1333,31,416,26.1333,35,3.02575,57.5288,1921.74,5.30435,11245.9,3094,197.565,1
85,115.1,35.2667,28.79,99.2972,610,14.1792,10.5083,1006.77,36.5,26,1.23333,7,26,1.23333,-5.1,364,26.1833,31.4,370,24.7667,59,3.94932,139.764,2062.48,4.30435,11596.5,3207.43,221.348,1
86,115.5167,35.0833,28.7443,98.598,642,14.1958,10.4917,1005,36.5,29,1.26667,8,29,1.26667,-5.1,382,26.2,31.4,385,24.8167,49,1.85759,0,3818.43,11.3043,12550.4,5294.65,239.13,1
87,116.05,35.8167,28.824,105.052,625,13.8167,10.8667,1031.61,37.7,24,0.516667,7,24,0.516667,-6.2,391,26.0833,31.5,391,26.0833,48,3.83917,334.983,2224.13,6.17391,12932.9,3466.39,171.13,1
88,116.4,35.9333,27.9425,107.83,648,13.6583,10.3667,1031.75,37.1,23,0.35,6,23,0.35,-6.1,411,25.9167,31,411,25.9167,29,10.4753,195.255,3022.78,8.95652,14101.1,4664.48,291.478,1
89,116.5,35.7667,28.9683,106.738,664,13.6,10.95,1033.32,37.8,24,0.25,7,24,0.25,-6.6,421,25.8833,31.2,421,25.8833,40,6.25095,2.1211,3526.87,12.9565,13824.4,5117.7,219.826,1
