物种名称,发生样点经度,发生样点纬度,原始行政区名称
美国白蛾,121.239558,41.533553,义县
美国白蛾,121.35499,41.160636,凌海市
美国白蛾,121.777503,41.588657,北镇市
美国白蛾,122.121764,40.226708,营口市鲅鱼圈区
美国白蛾,122.307956,40.671279,老边区
美国白蛾,122.34845,40.400259,盖州市
美国白蛾,122.509006,40.644482,大石桥市
美国白蛾,121.416105,41.7831,阜新市清河门区
美国白蛾,121.680157,42.025412,细河区
美国白蛾,121.757901,42.065175,阜新县
美国白蛾,122.538563,42.386264,彰武县
美国白蛾,123.231262,41.282378,辽阳市文圣区
美国白蛾,123.196725,41.217852,宏伟区
美国白蛾,123.419567,41.151787,弓长岭区
美国白蛾,123.18144,41.295023,太子河区
美国白蛾,123.106426,41.206246,辽阳县
美国白蛾,123.339398,41.426537,灯塔市
美国白蛾,121.996408,41.243367,盘山县
美国白蛾,123.842472,42.286575,铁岭市银州区
美国白蛾,123.728933,42.223395,铁岭县
美国白蛾,124.727491,42.738178,西丰县
美国白蛾,124.086628,42.779333,昌图县
美国白蛾,123.567039,42.468007,调兵山市
美国白蛾,124.051886,42.577645,开原市
美国白蛾,120.869157,40.774784,葫芦岛市连山区
美国白蛾,120.894054,40.735717,龙港区
美国白蛾,120.74971,41.10721,南票区
美国白蛾,120.34432,40.325576,绥中县
美国白蛾,120.756661,40.60999,兴城市
美国白蛾,125.664583,43.525367,长春市双阳区
美国白蛾,125.377655,43.853284,长春经济技术开发区
美国白蛾,125.204304,43.821451,长春汽车经济技术开发区
美国白蛾,125.260909,43.820958,长春高新技术开发区
美国白蛾,126.520476,43.700746,吉林市吉林经济技术开发区
美国白蛾,124.345994,43.146288,四平市铁西区
美国白蛾,124.335389,43.30706,梨树县
美国白蛾,124.79379,43.495116,公主岭市
美国白蛾,123.502398,43.518301,双辽市
美国白蛾,129.616021,44.577611,西安区
美国白蛾,125.53096,42.677253,东丰县
美国白蛾,124.991045,42.925636,东辽县
美国白蛾,125.711129,42.539183,通化市梅河口市
美国白蛾,126.193172,41.125805,集安市
美国白蛾,121.544346,31.221461,浦东新区※
美国白蛾,121.489431,31.405242,宝山区※
美国白蛾,121.265276,31.375566,嘉定区※
美国白蛾,121.124249,31.15098,青浦区※
美国白蛾,118.731642,32.003343,南京市建邺区
美国白蛾,114.348356,34.788473,鼓楼区
美国白蛾,118.627165,32.059796,浦口区
美国白蛾,118.909117,32.096423,栖霞区
美国白蛾,118.83951,31.953195,江宁区
美国白蛾,118.822241,32.323235,六合区
美国白蛾,117.185643,34.288736,徐州市鼓楼区
美国白蛾,117.251515,34.253638,云龙区
美国白蛾,117.465137,34.436492,贾汪区
美国白蛾,117.194405,34.22655,泉山区
美国白蛾,117.169698,34.181162,铜山区
美国白蛾,116.658111,34.697232,丰县
美国白蛾,116.936353,34.760761,沛县
美国白蛾,117.941364,33.913727,睢宁县
美国白蛾,118.354747,34.369585,新沂市
美国白蛾,118.012511,34.339208,邳州市
美国白蛾,119.338901,34.760317,连云港市连云区
美国白蛾,119.163492,34.572506,海州区
美国白蛾,119.173173,34.841336,赣榆区
美国白蛾,118.752869,34.542194,东海县
美国白蛾,119.239426,34.284074,灌云县
美国白蛾,119.315583,34.087251,灌南县
美国白蛾,119.141183,33.50296,淮安市淮安区
美国白蛾,119.034895,33.632588,淮阴区
美国白蛾,119.026662,33.552579,清江浦区
美国白蛾,118.873132,33.294095,洪泽区
美国白蛾,119.260589,33.781648,涟水县
美国白蛾,118.544545,33.011905,盱眙县
美国白蛾,119.020432,33.024663,金湖县
美国白蛾,120.196148,33.391414,盐城市亭湖区
美国白蛾,120.500761,33.200047,大丰区
美国白蛾,119.578332,34.199172,响水县
美国白蛾,119.820713,33.990372,滨海县
美国白蛾,119.802271,33.758857,阜宁县
美国白蛾,120.326338,33.766277,射阳县
美国白蛾,119.788743,33.438931,建湖县
美国白蛾,120.320308,32.867845,东台市
美国白蛾,119.431785,32.395654,扬州市广陵区※
美国白蛾,119.397935,32.37741,邗江区
美国白蛾,119.569684,32.43571,江都区
美国白蛾,119.358389,33.241125,宝应县
美国白蛾,119.184468,32.272833,仪征市
美国白蛾,119.45892,32.781606,高邮市
美国白蛾,120.12807,32.51029,泰州市姜堰区
美国白蛾,119.85255,32.911952,兴化市
美国白蛾,118.242048,33.963891,宿迁市宿城区
美国白蛾,118.330423,33.94813,宿豫区
美国白蛾,118.804321,34.110642,沭阳县
美国白蛾,118.703636,33.723576,泗阳县
美国白蛾,118.223941,33.476575,泗洪县
美国白蛾,117.30944,31.858111,合肥市瑶海区
美国白蛾,117.265088,31.878722,庐阳区
美国白蛾,117.26053,31.851211,蜀山区
美国白蛾,117.310133,31.793801,包河区
美国白蛾,117.167632,32.478347,长丰县
美国白蛾,117.4779,31.878601,肥东县
美国白蛾,117.890236,31.624464,巢湖市
美国白蛾,118.392337,31.369752,芜湖市鸠江区
美国白蛾,118.372664,31.311421,三山区
美国白蛾,118.198536,31.101766,繁昌县
美国白蛾,117.454544,32.90863,蚌埠市龙子湖区
美国白蛾,117.373347,32.916393,蚌山区
美国白蛾,117.359352,32.96557,淮上区
美国白蛾,117.205083,32.971543,怀远县
美国白蛾,117.881312,33.126532,五河县
美国白蛾,117.316585,33.318371,固镇县
美国白蛾,117.053314,32.631519,淮南市大通区
美国白蛾,117.017263,32.647456,田家庵区
美国白蛾,116.860026,32.599173,谢家集区
美国白蛾,116.832979,32.630922,八公山区
美国白蛾,116.834715,32.77208,潘集区
美国白蛾,116.84269,32.769668,毛集区
美国白蛾,116.710947,32.710536,凤台县
美国白蛾,116.798203,32.545027,寿县
美国白蛾,118.497873,31.570857,马鞍山市当涂县
美国白蛾,118.101448,31.735559,含山县
美国白蛾,116.827949,33.991412,淮北市杜集区
美国白蛾,116.795233,33.959927,相山区
美国白蛾,116.813221,33.895407,烈山区
美国白蛾,116.76616,33.915612,濉溪县
美国白蛾,117.937405,30.950619,铜陵市义安区
美国白蛾,117.767919,30.821699,郊区※
美国白蛾,117.250191,30.705466,枞阳县
美国白蛾,115.806916,32.883322,阜阳市颍州区
美国白蛾,115.856728,32.91173,颍东区
美国白蛾,115.807415,32.925461,颍泉区
美国白蛾,115.26312,33.038884,临泉县
美国白蛾,115.621941,33.160327,太和县
美国白蛾,115.596003,32.659681,阜南县
美国白蛾,116.256772,32.653211,颍上县
美国白蛾,115.374688,33.257799,界首市
美国白蛾,116.977039,33.640205,宿州市埇桥区
美国白蛾,116.947289,34.18884,萧县
美国白蛾,117.549321,33.554464,灵璧县
美国白蛾,117.910277,33.483686,泗县
美国白蛾,118.416715,32.200084,滁州市南谯区
美国白蛾,118.32115,32.334475,琅琊区
美国白蛾,118.432581,32.423072,来安县
美国白蛾,118.274149,32.08593,全椒县
美国白蛾,117.698528,32.530741,定远县
美国白蛾,117.531791,32.875714,凤阳县
美国白蛾,119.004838,32.667409,天长市
美国白蛾,118.018197,32.78193,明光市
